formula,formation energy
(NH4)2(VO)(V2O7),-1.52
RbTiS2,-1.52
Hg4OF6,-1.52
NaZn(OH)3,-1.53
CuScS2,-1.53
KNiCl3,-1.53
Na2(HPO3)(H2O)5,-1.54
FeO(OH),-1.54
Cs2PbO3,-1.54
Rb4(CO4),-1.55
SrK(AsO4)(H2O)8,-1.55
Al2(SeO3)3(H2O)6,-1.55
Na6ZnO4,-1.55
Rb2(PbO3),-1.55
Na4(CO4),-1.56
ZnCl2,-1.56
Na4(CO4),-1.56
Na2MnO4,-1.57
Li3VO4(H2O)8,-1.58
AlN,-1.58
RbMnBr3,-1.58
AlN,-1.58
POCl3,-1.58
K6MgO4,-1.59
La2Fe2S5,-1.59
RbVBr3,-1.6
(NH4)(BAsO4F),-1.61
Cu2Pb5(SO4)3CO3(OH)6,-1.62
(NH4)2(VO)(P2O7),-1.63
K17Fe5O16,-1.63
K4(CO4),-1.64
Te2O3(SO4),-1.64
Bi(FeO3),-1.65
Er6(Si11N20O),-1.65
Co2Mo3O8,-1.66
Na3Li(MoO4)2(H2O)6,-1.67
InBaCo4O7,-1.67
Ba(VS3),-1.67
BiFeO3,-1.68
Fe2Mo3O8,-1.68
Ba(FeO3),-1.69
Co2Mn3O8,-1.69
Cs(GeCl3),-1.71
Mn(NH4)Na(P2O7)(H2O)3,-1.72
Mn2Mo3O8,-1.74
CsCrCl3,-1.75
K2Cr4O13,-1.76
Cs(HSO3),-1.76
PbFe3(SO4)(PO4)(OH)6,-1.76
K2(CoCl4),-1.76
PtGeSe,-1.76
CuReO4,-1.77
Li(N2H5)(BeF4),-1.77
Ba3CrS5,-1.78
(H3O)2V3O8,-1.79
Cu2(V2O7),-1.8
CsAl(H2AsO4)2(HAsO4),-1.81
Sb6O7(SO4)2,-1.81
BiMnO3,-1.81
CsAl(H2AsO4)2(HAsO4),-1.81
BaNiO3,-1.82
Sb(SbO4),-1.84
Pb3Mn7O15,-1.84
CsMnCl3,-1.86
Zn2Mo3O8,-1.86
(V(H2O)3F3),-1.89
(UO2SO4)2(H2O)7,-1.9
Na(H2PO4)(H2O),-1.91
LiInMo3O8,-1.92
Sb2Mo10O31,-1.92
Li2Fe3SbO8,-1.93
Li8CoO6,-1.94
Mo17O47,-1.94
Bi(Mn7O12),-1.94
PbCo2(V2O8),-1.95
BaTiS3,-1.95
Sn6O4(SiO4),-1.95
(AlPO4)3((CH3)2CONH)(H2O),-1.95
Li(H2PO3),-1.96
Rb(HSO4),-1.96
CrO(OH),-1.97
RbCS(OF)3,-2
Fe3(PO4)O3,-2
Na2In2(Mo3O8)(MoO4)2,-2
K2(ZnCl4),-2
RbSO3CF3,-2
Er3GaS6,-2.02
Li4(CO4),-2.04
ZrCl2,-2.05
YBaCo4O7,-2.05
Tl4Ni7(PO4)6,-2.05
HoBaCo4O7,-2.06
Cd4BiO(BO3)3,-2.07
Fe2BO4,-2.07
CdCl2KClRb3Cl3,-2.07
DyBaCo4O7,-2.07
Fe2O(BO3),-2.07
LuBaCo4O7,-2.08
Cs2(S2O6),-2.08
Ca(HPO4)(H2O)2,-2.08
Co3(BPO7),-2.08
RbLi(CrO4),-2.09
Li(ReO3),-2.11
Li4(CO4),-2.12
PbVO3,-2.12
Pb(VO3),-2.12
K6BiH3(Cl2F)4,-2.12
Li4(CO4),-2.12
Au3F7(SbF5)3,-2.12
Na2(GeO3),-2.14
Cu6La4(MoO4)9,-2.16
CaZnOS,-2.17
Cs2PrO3,-2.18
Cs3Li2Cl5,-2.19
Bi2ZnTiO6,-2.2
Ba5(OsO5)3(NO3),-2.2
Mn13Sb(Si2O24),-2.22
Ir(PO3)3,-2.23
KNa(SO4),-2.23
(SbV)O4,-2.24
ScZnMo3O8,-2.24
BaBi2O2Br2,-2.25
SrNi2(VO4)2,-2.26
Sr(Co2V2O8),-2.26
LiNa(SO4),-2.26
(PbF2)4(PbI2),-2.26
LiNa(SO4),-2.26
FeCo(PO4)F,-2.27
(Na(H2O))2(B5O8(OH)),-2.28
SrCu2(BO3)2,-2.29
Sc(H2PO4)3,-2.29
Mg2Mo3O8,-2.29
Rb2TbO3,-2.29
Rb2PuCl6,-2.29
LiSc(Mo3O8),-2.3
KLi(SO4),-2.31
Na15(SO4)5F4Cl,-2.34
Ba3CuSb2O9,-2.34
Na(V2O5),-2.34
Na21(SO4)7F6Cl,-2.36
Cs3(Mo5P7O24),-2.36
KSn4(PO4)3,-2.37
LiY(Mo3O8),-2.38
Pb(V6O11),-2.39
V6O13,-2.39
Mn2(PO4)Cl,-2.4
K3(V5O14),-2.41
Ba3NiSb2O9,-2.41
Na(V2O5),-2.41
Mn6(PO4)4(H2O),-2.41
P2O5,-2.43
Ga3PO7,-2.43
Zn2(VO)(PO4)2,-2.44
Rb2(VO)(V2O7),-2.45
K2V3O8,-2.45
Cs3(Mo5P6O25),-2.46
Fe3(IB7O13),-2.46
Ba3YIrO9,-2.46
Ba3YIr2O9,-2.46
CaHClO,-2.46
Cd2(Nb2O7),-2.47
BaYFeCuO5,-2.47
BaMnO3,-2.48
Na2Al2Si3O10(H2O)3,-2.48
Na3Yb(CO3)2F2,-2.48
LuBaCuFeO5,-2.49
Yb(MnO3),-2.49
Zn(PO3)2,-2.49
VPO5,-2.5
PO(OPF2)3,-2.51
Fe3(ClB7O13),-2.52
Ag2(Nb4O11),-2.53
Ca(Al2Si6O16)(H2O)4,-2.53
In(PO3)3,-2.55
Ba5Re3NO18,-2.56
La4NS3Cl3,-2.56
Zn3(B7O13)Cl,-2.57
Ba(MoO)2O(P2O7)(PO4),-2.57
Mg3(Si2O5)(OH)4,-2.59
Mg(VO3),-2.59
Sr(V6O11),-2.59
Mg3Si2O5(OH)4,-2.59
Mg(VO3),-2.59
